Participant,Language,Cutoff,Dom,avg_dur,Area_ratio
p111,English,0.1,L2,0.1214333057166523,0.8335051717530801
p111,English,0.15,L2,0.1214333057166523,0.8522552773615188
p111,English,0.2,L2,0.1214333057166523,0.718759288220318
p111,English,0.25,L2,0.1214333057166523,0.7082827813244073
p111,English,0.3,L2,0.1214333057166523,0.7442950780798379
p111,Spanish,0.1,L2,0.1204702552388064,1.0716752330335975
p111,Spanish,0.15,L2,0.1204702552388064,0.9970171052359437
p111,Spanish,0.2,L2,0.1204702552388064,1.0125825489121385
p111,Spanish,0.25,L2,0.1204702552388064,1.062845640584748
p111,Spanish,0.3,L2,0.1204702552388064,1.081655845860751
p113,English,0.1,biling,0.1482721088435405,0.7032764589859734
p113,English,0.15,biling,0.1482721088435405,0.6954225507222098
p113,English,0.2,biling,0.1482721088435405,0.6914203822288939
p113,English,0.25,biling,0.1482721088435405,0.7291822305229964
p113,English,0.3,biling,0.1482721088435405,0.7245109154222834
p113,Spanish,0.1,biling,0.1365849266254688,0.843383630113463
p113,Spanish,0.15,biling,0.1365849266254688,0.8311934486090352
p113,Spanish,0.2,biling,0.1365849266254688,0.8225467976771589
p113,Spanish,0.25,biling,0.1365849266254688,0.8004940556446323
p113,Spanish,0.3,biling,0.1365849266254688,0.788893760833197
p114,English,0.1,biling,0.1761647572285868,0.8935895290916777
p114,English,0.15,biling,0.1761647572285868,0.7206415518614039
p114,English,0.2,biling,0.1761647572285868,0.6255225678907954
p114,English,0.25,biling,0.1761647572285868,0.6352858379683148
p114,English,0.3,biling,0.1761647572285868,0.6475433147448449
p114,Spanish,0.1,biling,0.1585710314151056,1.0483896640877755
p114,Spanish,0.15,biling,0.1585710314151056,1.02243306808041
p114,Spanish,0.2,biling,0.1585710314151056,1.0153922455210618
p114,Spanish,0.25,biling,0.1585710314151056,0.8872469005534172
p114,Spanish,0.3,biling,0.1585710314151056,0.8576407005706668
p117,English,0.1,L2,0.1301439458086399,0.8479138439120755
p117,English,0.15,L2,0.1301439458086399,0.8692094141066284
p117,English,0.2,L2,0.1301439458086399,0.9510658736093068
p117,English,0.25,L2,0.1301439458086399,1.130522803660709
p117,English,0.3,L2,0.1301439458086399,1.1651893955021055
p117,Spanish,0.1,L2,0.1106049770475788,1.2018202625701988
p117,Spanish,0.15,L2,0.1106049770475788,1.1009884690018925
p117,Spanish,0.2,L2,0.1106049770475788,1.0763000723068192
p117,Spanish,0.25,L2,0.1106049770475788,1.032730838532941
p117,Spanish,0.3,L2,0.1106049770475788,1.010938835952484
p118,English,0.1,biling,0.1339808682855049,0.9429985352245339
p118,English,0.15,biling,0.1339808682855049,0.8024311025050024
p118,English,0.2,biling,0.1339808682855049,0.7417173815073814
p118,English,0.25,biling,0.1339808682855049,0.6274655761308118
p118,English,0.3,biling,0.1339808682855049,0.5237785072747998
p118,Spanish,0.1,biling,0.1134319911858914,1.0748717334203557
p118,Spanish,0.15,biling,0.1134319911858914,1.124269140714906
p118,Spanish,0.2,biling,0.1134319911858914,1.1106415472254958
p118,Spanish,0.25,biling,0.1134319911858914,1.0563825547412915
p118,Spanish,0.3,biling,0.1134319911858914,1.0463232119130768
p119,English,0.1,biling,0.1260127591706546,0.8337736596869049
p119,English,0.15,biling,0.1260127591706546,0.9492119384054729
p119,English,0.2,biling,0.1260127591706546,0.8192378291316379
p119,English,0.25,biling,0.1260127591706546,0.7755943432646164
p119,English,0.3,biling,0.1260127591706546,0.7766689670380252
p119,Spanish,0.1,biling,0.1418962251073405,1.1430708616627951
p119,Spanish,0.15,biling,0.1418962251073405,1.1728270980861604
p119,Spanish,0.2,biling,0.1418962251073405,1.1848544847353069
p119,Spanish,0.25,biling,0.1418962251073405,1.1757204688803662
p119,Spanish,0.3,biling,0.1418962251073405,1.2358916197587815
p120,English,0.1,biling,0.1402656826568312,0.8592584073477247
p120,English,0.15,biling,0.1402656826568312,0.7041839552061665
p120,English,0.2,biling,0.1402656826568312,0.6034055349150804
p120,English,0.25,biling,0.1402656826568312,0.46891698079791555
p120,English,0.3,biling,0.1402656826568312,0.3426440227457259
p120,Spanish,0.1,biling,0.1406212424849406,0.8269948273552475
p120,Spanish,0.15,biling,0.1406212424849406,0.7674665325742991
p120,Spanish,0.2,biling,0.1406212424849406,0.7363143730437423
p120,Spanish,0.25,biling,0.1406212424849406,0.7019929730070633
p120,Spanish,0.3,biling,0.1406212424849406,0.6691596447840081
p121,English,0.1,L2,0.1576901605024465,0.7727843881783173
p121,English,0.15,L2,0.1576901605024465,0.8945465764162833
p121,English,0.2,L2,0.1576901605024465,0.8893399536049522
p121,English,0.25,L2,0.1576901605024465,0.8821011529283797
p121,English,0.3,L2,0.1576901605024465,0.9731257953455851
p121,Spanish,0.1,L2,0.1539485087942232,0.9440190980464983
p121,Spanish,0.15,L2,0.1539485087942232,0.9185802942771913
p121,Spanish,0.2,L2,0.1539485087942232,0.9120165280232967
p121,Spanish,0.25,L2,0.1539485087942232,0.9674709118385183
p121,Spanish,0.3,L2,0.1539485087942232,0.958842809903468
p122,English,0.1,biling,0.1399431009957346,0.865387309416139
p122,English,0.15,biling,0.1399431009957346,0.816108867444721
p122,English,0.2,biling,0.1399431009957346,0.8068355648520201
p122,English,0.25,biling,0.1399431009957346,0.736234261533744
p122,English,0.3,biling,0.1399431009957346,0.9882947998315531
p122,Spanish,0.1,biling,0.1222096985582836,0.9447723696143551
p122,Spanish,0.15,biling,0.1222096985582836,0.9008781731937536
p122,Spanish,0.2,biling,0.1222096985582836,0.8274139992703197
p122,Spanish,0.25,biling,0.1222096985582836,0.779356211367175
p122,Spanish,0.3,biling,0.1222096985582836,0.7854345960948832
p123,English,0.1,L2,0.1317321688500762,0.800847062032846
p123,English,0.15,L2,0.1317321688500762,0.8528633856055985
p123,English,0.2,L2,0.1317321688500762,0.8431718501058791
p123,English,0.25,L2,0.1317321688500762,0.8269135794364761
p123,English,0.3,L2,0.1317321688500762,0.8599110574266627
p123,Spanish,0.1,L2,0.1316264790793883,0.9584710948054214
p123,Spanish,0.15,L2,0.1316264790793883,0.935336403738499
p123,Spanish,0.2,L2,0.1316264790793883,0.937152681247128
p123,Spanish,0.25,L2,0.1316264790793883,0.8839208599780087
p123,Spanish,0.3,L2,0.1316264790793883,0.843679651279908
p124,English,0.1,biling,0.1150258620689638,0.9310465154067588
p124,English,0.15,biling,0.1150258620689638,0.9068420339104001
p124,English,0.2,biling,0.1150258620689638,0.769127916294257
p124,English,0.25,biling,0.1150258620689638,0.7375817766141025
p124,English,0.3,biling,0.1150258620689638,0.7764946349464387
p124,Spanish,0.1,biling,0.1127459919069355,1.1866147447835658
p124,Spanish,0.15,biling,0.1127459919069355,1.1729254651234793
p124,Spanish,0.2,biling,0.1127459919069355,1.1533366603819348
p124,Spanish,0.25,biling,0.1127459919069355,1.2102707432160267
p124,Spanish,0.3,biling,0.1127459919069355,1.4083894167674509
p126,English,0.1,L2,0.1436930294906131,0.8044002925713611
p126,English,0.15,L2,0.1436930294906131,0.713106428656477
p126,English,0.2,L2,0.1436930294906131,0.7546557112640884
p126,English,0.25,L2,0.1436930294906131,0.7323183368772254
p126,English,0.3,L2,0.1436930294906131,0.7039353697835672
p126,Spanish,0.1,L2,0.1654652290703182,0.8211009026604084
p126,Spanish,0.15,L2,0.1654652290703182,0.7652663770470066
p126,Spanish,0.2,L2,0.1654652290703182,0.7171058603866133
p126,Spanish,0.25,L2,0.1654652290703182,0.7793972117809596
p126,Spanish,0.3,L2,0.1654652290703182,0.7685263217392406
